rxcui,class_id,class_name,class_type,rela_source
154,B01AA,Vitamin K antagonists,ATC1-4,ATC
167,S01EC,Carbonic anhydrase inhibitors,ATC1-4,ATC
197,R05CB,Mucolytics,ATC1-4,ATC
197,S01XA,Other ophthalmologicals,ATC1-4,ATC
197,V03AB,Antidotes,ATC1-4,ATC
281,D06BB,Antivirals,ATC1-4,ATC
281,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,ATC1-4,ATC
281,S01AD,Antivirals,ATC1-4,ATC
1191,A01AD,Other agents for local oral treatment,ATC1-4,ATC
1191,B01AC,Platelet aggregation inhibitors excl. heparin,ATC1-4,ATC
1191,N02BA,Salicylic acid and derivatives,ATC1-4,ATC
1191,N02AJ,Opioids in combination with non-opioid analgesics,ATC1-4,ATC
1191,A01AD,Other agents for local oral treatment,ATC1-4,ATC
1191,B01AC,Platelet aggregation inhibitors excl. heparin,ATC1-4,ATC
1191,N02BA,Salicylic acid and derivatives,ATC1-4,ATC
1191,N02AJ,Opioids in combination with non-opioid analgesics,ATC1-4,ATC
236083,M05BA,Bisphosphonates,ATC1-4,ATC
4511,B03AD,Iron in combination with folic acid,ATC1-4,ATC
4511,B03AD,Iron in combination with folic acid,ATC1-4,ATC
4511,B03BB,Folic acid and derivatives,ATC1-4,ATC
4511,V04CX,Other diagnostic agents,ATC1-4,ATC
4608,D06AX,Other antibiotics for topical use,ATC1-4,ATC
4608,D09AA,Medicated dressings with antiinfectives,ATC1-4,ATC
4608,J01XC,Steroid antibacterials,ATC1-4,ATC
4608,S01AA,Antibiotics,ATC1-4,ATC
7145,L04AA,Selective immunosuppressants,ATC1-4,ATC
10691,B02AA,Amino acids,ATC1-4,ATC
11118,N03AG,Fatty acid derivatives,ATC1-4,ATC
1303098,R03BB,Anticholinergics,ATC1-4,ATC
327361,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,ATC1-4,ATC
17300,G04CA,Alpha-adrenoreceptor antagonists,ATC1-4,ATC
1659152,C10AX,Other lipid modifying agents,ATC1-4,ATC
596,N05BA,Benzodiazepine derivatives,ATC1-4,ATC
620,N04BB,Adamantane derivatives,ATC1-4,ATC
358274,C02KX,Antihypertensives for pulmonary arterial hypertension,ATC1-4,ATC
644,C03DB,Other potassium-sparing agents,ATC1-4,ATC
703,C01BD,"Antiarrhythmics, class III",ATC1-4,ATC
704,N06AA,Non-selective monoamine reuptake inhibitors,ATC1-4,ATC
704,N06AA,Non-selective monoamine reuptake inhibitors,ATC1-4,ATC
72435,L04AC,Interleukin inhibitors,ATC1-4,ATC
1999574,L02BB,Anti-androgens,ATC1-4,ATC
1364430,B01AF,Direct factor Xa inhibitors,ATC1-4,ATC
2584304,L01EA,BCR-ABL tyrosine kinase inhibitors,ATC1-4,ATC
83367,C10BA,Combinations of various lipid modifying agents,ATC1-4,ATC
83367,C10BX,Lipid modifying agents in combination with other drugs,ATC1-4,ATC
83367,C10AA,HMG CoA reductase inhibitors,ATC1-4,ATC
83367,C10BA,Combinations of various lipid modifying agents,ATC1-4,ATC
83367,C10BX,Lipid modifying agents in combination with other drugs,ATC1-4,ATC
83367,C10AA,HMG CoA reductase inhibitors,ATC1-4,ATC
1256,L04AX,Other immunosuppressants,ATC1-4,ATC
18631,J01FA,Macrolides,ATC1-4,ATC
18631,S01AA,Antibiotics,ATC1-4,ATC
1347,A07EA,Corticosteroids acting locally,ATC1-4,ATC
1347,D07AC,"Corticosteroids, potent (group III)",ATC1-4,ATC
1347,R01AD,Corticosteroids,ATC1-4,ATC
1347,R03BA,Glucocorticoids,ATC1-4,ATC
18867,C09AA,"ACE inhibitors, plain",ATC1-4,ATC
18867,C09BB,ACE inhibitors and calcium channel blockers,ATC1-4,ATC
1999660,J05AR,"Antivirals for treatment of HIV infections, combinations",ATC1-4,ATC
283810,S01EE,Prostaglandin analogues,ATC1-4,ATC
283810,S01EE,Prostaglandin analogues,ATC1-4,ATC
1588,A11HA,Other plain vitamin preparations,ATC1-4,ATC
75207,C02KX,Antihypertensives for pulmonary arterial hypertension,ATC1-4,ATC
194881,S01EC,Carbonic anhydrase inhibitors,ATC1-4,ATC
1749,N05BA,Benzodiazepine derivatives,ATC1-4,ATC
19790,N05CD,Benzodiazepine derivatives,ATC1-4,ATC
19831,A07EA,Corticosteroids acting locally,ATC1-4,ATC
19831,D07AC,"Corticosteroids, potent (group III)",ATC1-4,ATC
19831,R01AD,Corticosteroids,ATC1-4,ATC
19831,R03BA,Glucocorticoids,ATC1-4,ATC
19831,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",ATC1-4,ATC
19831,A07EA,Corticosteroids acting locally,ATC1-4,ATC
19831,D07AC,"Corticosteroids, potent (group III)",ATC1-4,ATC
19831,R01AD,Corticosteroids,ATC1-4,ATC
19831,R03BA,Glucocorticoids,ATC1-4,ATC
19831,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",ATC1-4,ATC
1819,N02AE,Oripavine derivatives,ATC1-4,ATC
1819,N07BC,Drugs used in opioid dependence,ATC1-4,ATC
1897,A02AC,Calcium compounds,ATC1-4,ATC
1897,A12AA,Calcium,ATC1-4,ATC
1373458,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ATC1-4,ATC
1373458,A10BD,Combinations of oral blood glucose lowering drugs,ATC1-4,ATC
135481,C09CA,"Angiotensin II receptor blockers (ARBs), plain",ATC1-4,ATC
1982,C03DA,Aldosterone antagonists,ATC1-4,ATC
2180,J01DB,First-generation cephalosporins,ATC1-4,ATC
83682,J01DD,Third-generation cephalosporins,ATC1-4,ATC
25033,J01DD,Third-generation cephalosporins,ATC1-4,ATC
2193,J01DD,Third-generation cephalosporins,ATC1-4,ATC
20610,R06AE,Piperazine derivatives,ATC1-4,ATC
20610,S01GX,Other antiallergics,ATC1-4,ATC
11248,B03BA,Vitamin B12 (cyanocobalamin and analogues),ATC1-4,ATC
274964,R01AD,Corticosteroids,ATC1-4,ATC
274964,R03BA,Glucocorticoids,ATC1-4,ATC
21949,M03BX,Other centrally acting agents,ATC1-4,ATC
3008,L04AD,Calcineurin inhibitors,ATC1-4,ATC
3008,S01XA,Other ophthalmologicals,ATC1-4,ATC
407990,H05BX,Other anti-parathyroid agents,ATC1-4,ATC
2556,N06AB,Selective serotonin reuptake inhibitors,ATC1-4,ATC
997602,N06BX,Other psychostimulants and nootropics,ATC1-4,ATC
2598,N03AE,Benzodiazepine derivatives,ATC1-4,ATC
32968,B01AC,Platelet aggregation inhibitors excl. heparin,ATC1-4,ATC
2670,N02AJ,Opioids in combination with non-opioid analgesics,ATC1-4,ATC
